Libellé ROME,Code OGR,cluster_1,cluster_2,cluster_3,code_ROME,encoding_label
Conducteur / Conductrice de pulvérisateur,38875,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Conduite d'engins agricoles et forestiers,A1101,"[ 0.8579427   0.59230024 -0.04099726 ...  0.08838491  0.11732939
  0.25422135]"
Conducteur / Conductrice de tête d'abattage,13197,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Conduite d'engins agricoles et forestiers,A1101,"[ 0.04912588  0.63529164 -0.5642327  ... -0.10493572  0.30596474
 -0.26032695]"
Conducteur / Conductrice de tracteur,13201,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Conduite d'engins agricoles et forestiers,A1101,"[ 0.8987938   0.7544259  -0.32796198 ...  0.09081968 -0.0378944
 -0.2789802 ]"
Conducteur / Conductrice de tracteur enjambeur,140877,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Conduite d'engins agricoles et forestiers,A1101,"[ 0.77023596  0.5690074  -0.37854102 ... -0.02159502  0.01631239
 -0.0720518 ]"
Conducteur / Conductrice de tracto-benne,38879,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Conduite d'engins agricoles et forestiers,A1101,"[ 0.24463634  0.59630203 -0.5226036  ... -0.1634948  -0.04225682
 -0.21499339]"
Débardeur / Débardeuse,13886,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Conduite d'engins agricoles et forestiers,A1101,"[-0.1268856   0.35063013 -0.24691316 ...  0.05924926  0.5879716
  0.17510074]"
Débardeur forestier / Débardeuse forestière,13887,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Conduite d'engins agricoles et forestiers,A1101,"[ 0.29274628  0.49824288 -0.24635969 ... -0.09965526  0.7158389
 -0.16487809]"
Opérateur / Opératrice d'abatteuse,17055,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Conduite d'engins agricoles et forestiers,A1101,"[ 0.36634454  0.47788927 -0.5544834  ... -0.04030681  0.5858654
 -0.4900211 ]"
Opérateur / Opératrice d'épandage,38876,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Conduite d'engins agricoles et forestiers,A1101,"[ 0.95486283  0.37126294 -0.19044678 ...  0.00569614  0.45560458
  0.2237051 ]"
Pilote de machines d'abattage,17751,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Conduite d'engins agricoles et forestiers,A1101,"[ 0.2811004   0.4848507  -0.36418697 ...  0.11828721  0.39177793
 -0.2861173 ]"
Tractoriste agricole,20404,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Conduite d'engins agricoles et forestiers,A1101,"[-0.15127143  0.45880482 -0.18980046 ... -0.28574032  0.01092916
 -0.8395405 ]"
Tractoriste forestier / Tractoriste forestière,20405,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Conduite d'engins agricoles et forestiers,A1101,"[-0.15478875  0.66781944 -0.3075316  ... -0.12936594  0.48949927
 -0.8492277 ]"
Arboriste,11105,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Bûcheronnage et élagage,A1201,"[-0.00959735 -0.33247903 -0.30764216 ...  0.00362433  0.5078485
 -0.5974151 ]"
Arboriste grimpeur / grimpeuse,11106,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Bûcheronnage et élagage,A1201,"[ 0.1518859   0.06736498 -0.55925024 ...  0.02917794  0.29885265
 -0.33467937]"
Bûcheron / Bûcheronne,11606,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Bûcheronnage et élagage,A1201,"[ 0.38733128  0.7657307  -0.3950266  ... -0.43759784  0.38237527
  0.04509608]"
Bûcheron élagueur / Bûcheronne élagueuse,11607,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Bûcheronnage et élagage,A1201,"[ 0.24822876  0.57002    -0.52258694 ... -0.29615286  0.3378813
 -0.22435069]"
Charbonnier / Charbonnière,11740,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Bûcheronnage et élagage,A1201,"[ 0.54024994  0.06268287 -0.54932094 ... -0.05993807 -0.2870756
 -0.01660872]"
Commis / Commise de coupe,12755,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Bûcheronnage et élagage,A1201,"[ 0.11798329 -0.13019699 -0.5388143  ... -0.16850498  0.34952486
 -0.10397646]"
Éhouppeur / Éhouppeuse,14607,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Bûcheronnage et élagage,A1201,"[ 0.6745062   0.5601839  -0.11623958 ... -0.07909787  0.45592305
 -0.4077787 ]"
Élagueur / Élagueuse,14608,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Bûcheronnage et élagage,A1201,"[ 0.20946023  0.24086086 -0.47436914 ... -0.11109655  0.1276053
 -0.30960715]"
Élagueur / Élagueuse espaces verts,14609,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Bûcheronnage et élagage,A1201,"[ 0.34486726  0.12653251 -0.46062627 ... -0.04083881  0.09697726
 -0.32702172]"
Élagueur-botteur / Élagueuse-botteuse,14610,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Bûcheronnage et élagage,A1201,"[ 0.5001451   0.09781875 -0.5342012  ... -0.14401862  0.15036829
 -0.36102438]"
Élagueur-grimpeur / Élagueuse-grimpeuse,14611,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Bûcheronnage et élagage,A1201,"[ 0.30080312  0.23258422 -0.5045501  ... -0.16253336  0.35209516
 -0.4371348 ]"
Grimpeur-élagueur / Grimpeuse-élagueuse,15429,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Bûcheronnage et élagage,A1201,"[ 0.30120954  0.1586715  -0.39542237 ... -0.17430255  0.21506377
 -0.32588384]"
Homme / Femme de pied,38435,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Bûcheronnage et élagage,A1201,"[ 0.5009424  -0.10749717 -0.22420403 ... -0.34803972 -0.3013071
 -0.02594324]"
Ouvrier / Ouvrière d'exploitation forestière,17483,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Bûcheronnage et élagage,A1201,"[ 0.44015697  0.30359513 -0.39682138 ... -0.23734327  0.6883914
 -0.42248175]"
"Agent / Agente d'aménagement des circuits pédestres, équestres et Vtt",10382,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Entretien des espaces naturels,A1202,"[ 0.06850103  0.10215184 -0.35733524 ... -0.04682828  0.15642715
 -0.70738137]"
Agent / Agente d'aménagement des haies et fossés,10383,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Entretien des espaces naturels,A1202,"[ 0.3972337  -0.02531272 -0.26414907 ... -0.0789571   0.6391649
 -0.13916394]"
Agent / Agente d'entretien de l'espace rural,10667,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Entretien des espaces naturels,A1202,"[ 0.6750804   0.23817481  0.06042536 ...  0.06177416  0.34844866
 -0.27943787]"
Agent / Agente d'entretien de la nature,10664,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Entretien des espaces naturels,A1202,"[ 0.47862434  0.16327186 -0.23922776 ... -0.07058376  0.46130446
 -0.25920352]"
Agent / Agente d'entretien des espaces naturels,10673,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Entretien des espaces naturels,A1202,"[ 0.3337694   0.25077605 -0.20259857 ... -0.199085    0.46715572
 -0.22598284]"
Agent / Agente d'entretien des rivières,10677,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Entretien des espaces naturels,A1202,"[ 0.4126964  -0.38217068 -0.24271412 ...  0.2543051   0.827116
 -0.09101322]"
Agent / Agente d'entretien nature du littoral,10685,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Entretien des espaces naturels,A1202,"[ 0.26375514  0.59452987 -0.20599133 ... -0.1057237   0.53713316
 -0.18077171]"
Agent / Agente d'entretien nature et biodiversité,38323,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Entretien des espaces naturels,A1202,"[ 0.3085214   0.12229193 -0.16848765 ... -0.10204339  0.48713407
 -0.44676033]"
Chef d'équipe d'entretien d'espaces naturels,12440,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Entretien des espaces naturels,A1202,"[ 0.08487742  0.2531633  -0.26779822 ... -0.29172832  0.4934902
 -0.14853343]"
Ouvrier / Ouvrière d'entretien des espaces naturels,17474,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Entretien des espaces naturels,A1202,"[ 0.32019028  0.22309089 -0.2100054  ... -0.45364693  0.556574
 -0.14607184]"
Ouvrier / Ouvrière de génie écologique,200080,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Entretien des espaces naturels,A1202,"[ 0.55593854  0.4174321  -0.48869812 ... -0.06022708  0.48528054
 -0.54069424]"
Agent / Agente d'entretien des parcs et jardins,10675,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Aménagement et entretien des espaces verts,A1203,"[ 0.8699325  -0.04120037 -0.34527394 ... -0.02581381  0.34440634
 -0.21315998]"
Aide jardinier / jardinière,38436,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Aménagement et entretien des espaces verts,A1203,"[ 0.8734166  -0.13391778 -0.31611273 ... -0.01829528  0.5369043
 -0.2697638 ]"
Chef d'équipe d'entretien des espaces verts,12439,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Aménagement et entretien des espaces verts,A1203,"[ 0.46969175 -0.10799098 -0.15044244 ... -0.09511606  0.16393596
 -0.11724994]"
Chef d'équipe paysagiste,12482,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Aménagement et entretien des espaces verts,A1203,"[ 0.56913686  0.1767036  -0.332936   ... -0.08486067  0.41453046
 -0.27552983]"
Jardinier / Jardinière,16067,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Aménagement et entretien des espaces verts,A1203,"[ 0.75961787 -0.20411727 -0.4048016  ... -0.15574822  0.12090318
 -0.05305478]"
Jardinier / Jardinière d'espaces verts,16068,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Aménagement et entretien des espaces verts,A1203,"[ 0.84504753 -0.17804125 -0.40184125 ... -0.11245148  0.22915708
 -0.16032888]"
Jardinier / Jardinière paysagiste,16069,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Aménagement et entretien des espaces verts,A1203,"[ 0.9185515  -0.13117866 -0.38077098 ... -0.26782724  0.16156818
 -0.02990762]"
Manoeuvre des espaces verts,38437,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Aménagement et entretien des espaces verts,A1203,"[ 0.608188   -0.28775406 -0.11088767 ... -0.1049531  -0.15616265
 -0.178586  ]"
Ouvrier / Ouvrière d'entretien des espaces verts,17475,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Aménagement et entretien des espaces verts,A1203,"[ 0.7570849  -0.16402772 -0.2657266  ... -0.14066997  0.29752606
 -0.11978439]"
Ouvrier / Ouvrière des espaces verts,17480,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Aménagement et entretien des espaces verts,A1203,"[ 0.78538626 -0.03948176 -0.44957697 ... -0.1619984   0.2909044
 -0.25528532]"
Ouvrier / Ouvrière du paysage,17487,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Aménagement et entretien des espaces verts,A1203,"[ 0.71746117  0.36643142 -0.4919719  ... -0.15910083  0.49145517
 -0.335798  ]"
Ouvrier / Ouvrière paysagiste,17515,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Aménagement et entretien des espaces verts,A1203,"[ 0.8517871   0.12203782 -0.34857887 ... -0.23958029  0.34100285
 -0.18717757]"
Technicien / Technicienne paysagiste,38077,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Aménagement et entretien des espaces verts,A1203,"[ 0.6397205   0.3556517  -0.37574044 ... -0.11565167  0.14592767
 -0.47323036]"
Agent / Agente technique des parcs nationaux,10780,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Protection du patrimoine naturel,A1204,"[ 0.10263624  0.6229873  -0.33307675 ... -0.23272762  0.59746134
 -0.6294315 ]"
Agent chargé / Agente chargée de protection et de sauvegarde du patrimoine naturel,10358,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Protection du patrimoine naturel,A1204,"[-0.06793834  0.5349928  -0.2754834  ... -0.22248664  0.8998048
 -0.35743952]"
Eco garde,14562,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Protection du patrimoine naturel,A1204,"[ 0.00872374  0.43397552 -0.12353793 ...  0.14413166  0.5156531
  0.11002631]"
Garde-chasse,15205,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Protection du patrimoine naturel,A1204,"[ 0.18085107  0.36038172 -0.01755341 ...  0.04733581  0.63577116
 -0.30109838]"
Garde-chasse particulier / particulière,15206,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Protection du patrimoine naturel,A1204,"[ 0.4042211   0.6452854  -0.3461603  ... -0.15563986  0.5208565
 -0.05091634]"
Garde de parc naturel,15195,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Protection du patrimoine naturel,A1204,"[ 0.25221512  0.6654342  -0.09727923 ... -0.23561907  0.5944855
 -0.04495082]"
Garde du littoral,15198,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Protection du patrimoine naturel,A1204,"[-0.1765419   0.99715775 -0.14390714 ...  0.13188899  0.3106658
  0.46084732]"
Garde forestier / forestière,15199,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Protection du patrimoine naturel,A1204,"[ 0.28801724  0.5872569  -0.2539596  ... -0.09667268  0.75516886
 -0.20155345]"
Garde moniteur / monitrice de parc national,15200,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Protection du patrimoine naturel,A1204,"[ 0.48251197  0.505235   -0.13162732 ... -0.07382018  0.41281843
 -0.11404715]"
Garde moniteur / monitrice de parc naturel,15201,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Protection du patrimoine naturel,A1204,"[ 0.39957514  0.61446756 -0.164594   ... -0.17439975  0.5158088
 -0.08269766]"
Garde national / nationale de la chasse et de la faune sauvage,15202,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Protection du patrimoine naturel,A1204,"[-0.32580873  0.53565615  0.28809327 ...  0.04133466  0.41154662
 -0.42203158]"
Garde-pêche,15208,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Protection du patrimoine naturel,A1204,"[ 0.3657133   0.16167912  0.00864198 ... -0.1828767   0.6167561
  0.36026132]"
Garde-rivière,15210,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Protection du patrimoine naturel,A1204,"[ 0.1686853   0.03215485 -0.3499912  ...  0.10391886  0.83730334
  0.25663617]"
Garde technicien / technicienne de réserve naturelle,15204,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Protection du patrimoine naturel,A1204,"[ 0.07013992  0.5378946  -0.22364359 ... -0.09056897  0.45901585
 -0.3930294 ]"
Observateur / Observatrice des pêches,200100,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Protection du patrimoine naturel,A1204,"[ 0.7977361   0.2639318  -0.405706   ... -0.40912715  0.6117608
 -0.04037913]"
Technicien / Technicienne cynégétique,19706,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Protection du patrimoine naturel,A1204,"[ 0.23028962  0.4020865  -0.36868387 ... -0.11089237  0.20247094
 -0.8438226 ]"
Technicien / Technicienne de rivière,38379,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Protection du patrimoine naturel,A1204,"[-0.00305683  0.10025644 -0.3780989  ... -0.07319559  0.47976184
 -0.27679953]"
Agent / Agente de maîtrise d'exploitation forestière,10514,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Sylviculture,A1205,"[ 0.02586874  0.2808676  -0.44777024 ...  0.04275897  1.0144893
 -0.5867297 ]"
Agent technique forestier / Agente technique forestière,10795,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Sylviculture,A1205,"[-0.03288953  0.5336815  -0.36231047 ... -0.06581388  0.7543667
 -0.9001352 ]"
Chef d'équipe de travaux forestiers,38438,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Sylviculture,A1205,"[ 0.04601586  0.34711033 -0.34202212 ... -0.286901    0.70262
 -0.41269284]"
Chef de district forestier,12136,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Sylviculture,A1205,"[ 0.16845076  0.12493052 -0.275173   ...  0.14046896  0.6267852
 -0.12358727]"
Conducteur / Conductrice de travaux forestiers,38439,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Sylviculture,A1205,"[ 0.4171892   0.6978791  -0.45322838 ... -0.25445914  0.4173098
 -0.49794436]"
Contremaître / Contremaîtresse d'exploitation forestière,13572,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Sylviculture,A1205,"[ 0.05959052  0.4463763  -0.47427046 ... -0.12913534  0.8294799
 -0.36798584]"
Exploitant forestier / Exploitante forestière,15010,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Sylviculture,A1205,"[ 0.23674504  0.64298254 -0.11862218 ... -0.01791927  0.6318667
 -0.30870488]"
Forestier / Forestière,15109,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Sylviculture,A1205,"[ 0.61629635  0.5114402  -0.31341964 ... -0.5286611   0.67345387
 -0.3800837 ]"
Manoeuvre forestier / forestière,16353,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Sylviculture,A1205,"[-0.08592864  0.3751306  -0.38705274 ... -0.25980645  0.5286936
 -0.22250615]"
Ouvrier forestier / Ouvrière forestière,17502,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Sylviculture,A1205,"[ 0.51360464  0.48285103 -0.31667215 ... -0.3526496   0.6977841
 -0.44381517]"
Ouvrier sylvicole / Ouvrière sylvicole,17536,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Sylviculture,A1205,"[ 0.50675046  0.32478765 -0.21074784 ... -0.35437205  0.5792913
 -0.40184188]"
Ouvrier sylviculteur / Ouvrière sylvicultrice,17537,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Sylviculture,A1205,"[ 0.544565    0.57762975 -0.3780178  ... -0.19416894  0.49873766
 -0.4483972 ]"
Populiculteur / Populicultrice,17889,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Sylviculture,A1205,"[ 4.4371682e-01  1.0657932e+00 -3.5605845e-01 ...  8.8064966e-04
 -1.7598791e-01  3.0520496e-01]"
Sylviculteur / Sylvicultrice,19606,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,Sylviculture,A1205,"[ 0.58631873  0.6111339  -0.33875674 ...  0.07799581  0.3636136
 -0.5044652 ]"
Animateur / Animatrice agricole,10972,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Etudes et assistance technique,Conseil et assistance technique en agriculture et environnement naturel,A1301,"[ 0.43283698  0.5735199  -0.2992314  ... -0.81229913  0.6219607
 -0.48854718]"
Animateur / Animatrice d'organismes agricoles,11050,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Etudes et assistance technique,Conseil et assistance technique en agriculture et environnement naturel,A1301,"[ 0.44427043  0.49133444 -0.35004693 ... -0.6778193   0.57130724
 -0.41207874]"
Conseiller / Conseillère agricole,13350,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Etudes et assistance technique,Conseil et assistance technique en agriculture et environnement naturel,A1301,"[ 0.6275085   0.22887926 -0.62249684 ... -0.5910687   0.63436407
 -0.31729436]"
Conseiller / Conseillère d'agriculture,13386,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Etudes et assistance technique,Conseil et assistance technique en agriculture et environnement naturel,A1301,"[ 0.77594525  0.3094837  -0.54211783 ... -0.5223616   0.5468997
 -0.299323  ]"
Conseiller / Conseillère d'élevage en production laitière,13395,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Etudes et assistance technique,Conseil et assistance technique en agriculture et environnement naturel,A1301,"[ 0.7646857   0.6345841  -0.39792898 ... -0.474395    0.06510958
 -0.42260745]"
Conseiller / Conseillère de gestion agricole,13388,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Etudes et assistance technique,Conseil et assistance technique en agriculture et environnement naturel,A1301,"[ 0.70161957  0.17421606 -0.50630677 ... -0.35379547  0.7235689
 -0.2908867 ]"
Conseiller / Conseillère en génie climatique agricole,38324,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Etudes et assistance technique,Conseil et assistance technique en agriculture et environnement naturel,A1301,"[ 0.48763168  0.32351756 -0.36527684 ... -0.10458991  0.41278094
 -0.30091855]"
Conseiller / Conseillère en irrigation,13439,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Etudes et assistance technique,Conseil et assistance technique en agriculture et environnement naturel,A1301,"[ 0.84519833 -0.05409274 -0.37910655 ... -0.30154103  0.6305814
  0.1897049 ]"
Conseiller / Conseillère en machinisme agricole,13440,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Etudes et assistance technique,Conseil et assistance technique en agriculture et environnement naturel,A1301,"[ 0.43689096  0.2174959  -0.32306355 ... -0.6241901   0.31738198
 -0.09465565]"
Conseiller / Conseillère technique agricole,13481,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Etudes et assistance technique,Conseil et assistance technique en agriculture et environnement naturel,A1301,"[ 0.34051135  0.34134558 -0.620827   ... -0.37876257  0.5153093
 -0.58106816]"
